entity_type,entity_id,entity_name,validated_username,validated_full_name,validated_score
empresa,2742,,america_brotense,América Brotense FC,72.0
empresa,19,,acopemaestufas,Açopema Estufas Agrícolas,72.0
empresa,1054,,ageplan_,AGEPLAN,90.0
empresa,1057,,agi,Agi Danielewska,74.0
empresa,1838,,agropecuariatresmarias,agropecuária três marias,90.0
empresa,1292,,agrozaki,Agro Zaki,90.0
empresa,367,,aleparkestacionamento,Alepark Estacionamento,81.42857142857143
empresa,837,,_alexandre_ferraz_,Alexandre Ferraz,90.0
empresa,2587,,amacessoriosautomotivos,AM Acessórios Automotivos,90.0
empresa,1265,,arezzo,Arezzo,90.0
empresa,2297,,artecola_,ArteCola,90.0
empresa,2275,,arte_duro,Arte Duro Microcement & Venetian,72.0
empresa,2630,,asset.holding,Asset Holding,83.07692307692308
empresa,1096,,atlascopco,Atlas Copco,90.0
empresa,912,,cfcsitiocercado,AutoEscola Sítio Cercado,75.0
empresa,1784,,baciodelattemkt,Bacio di Latte,81.33333333333333
empresa,2569,,banca3express,Banca 3,74.0
empresa,1247,,borgeslandeiro,Borges Landeiro,90.0
empresa,1328,,br_empreendimentoss,Brascon Empreendimentos,70.07142857142857
empresa,431,,tj.cursos,TJ Cursos e Treinamentos,72.0
empresa,979,,caguimaraes.engenharia,C.A. Guimarães Engenharia,85.71428571428571
empresa,327,,careplus,Care Plus,90.0
empresa,950,,centro.empresarial.privado,centro empresarial privado,75.0
empresa,2654,,cofarja.oficial,Cofarja,88.0
empresa,2449,,condominioresidencialcapri,Condominio Residencial Capri,77.14285714285715
empresa,2568,,condominioresidencialmonaco,Condomínio Residencial Mônaco,70.3125
empresa,2571,,condominioresidencialmonaco,Condomínio Residencial Mônaco,75.0
empresa,2565,,condominioresidencialitalia,Condomínio Residencial Itália,70.71428571428571
empresa,2567,,condominioresidencialmonaco,Condomínio Residencial Mônaco,73.92857142857142
empresa,1288,,condominioresidencialmonaco,Condomínio Residencial Mônaco,77.58620689655172
empresa,2566,,condominioresidencialbetel,Condomínio Residencial Betel,73.92857142857142
empresa,1321,,constatei,Constatei,72.0
empresa,915,,controlsul,Controlsul Gestão Empresarial,74.0
empresa,501,,costaebarbosaadvogados,Costa & Barbosa Advogados,70.45161290322581
empresa,1360,,darcio_texeira_dtl10,darcio texeira lima,72.0
empresa,447,,dcarepresentacoes,DCA REPRESENTAÇÕES 🚩,90.0
empresa,1956,,nnnnm_41,Demuth🐏,75.0
empresa,2068,,diprotec.com.br,Diprotec,88.0
empresa,510,,distribuidora__brilhante,Distribuidora brilhante,90.0
empresa,941,,distribuidoranortesul_,Distribuidora NORTE SUL,72.0
empresa,435,,douglassalgado50,Douglas Salgado Araujo,70.36363636363636
empresa,2523,,doutoresdoemagrecimento,Doutores do Emagrecimento,90.0
empresa,170,,eficaz_empreendimentos,EFICAZ EMPREENDIMENTOS,72.0
empresa,506,,ivaneloembalo,Ïvänëlö Embalo,72.0
empresa,1271,,escritorioadministrativo,Administrativo,72.0
empresa,2340,,fabrica_de_carrocerias_silva,Fabrica De Carrocerias Silva 🚚 🇧🇷,73.33333333333334
empresa,1833,,facchinimusic,FACCHINI,88.0
empresa,1843,,facchinisa,Facchini S.A.,90.0
empresa,1921,,fazenda.n.s.aparecida,Fazenda N.S.Aparecida,90.0
empresa,1260,,florestasupermercados,Floresta Supermercados,90.0
empresa,2679,,fontespromotoradecredito,Fontes Promotora de Crédito,90.0
empresa,621,,foxterciaimobiliaria,Foxter Imobiliária,78.0
empresa,2085,,frasle3,fras-le,88.0
empresa,2520,,ftma_bytmur,ftma,88.0
empresa,970,,funcionalseguranaeletrnica,Funcional Segurança Eletrônica,70.92307692307692
empresa,948,,funndar,FunDar,88.57142857142857
empresa,2647,,gshomesolutions,G&S Home Solutions,90.0
empresa,883,,hi_mixx,hi.mix,88.0
empresa,749,,imetamesede,Imetame,88.0
empresa,687,,imetamelogisticaporto,Imetame Logística Porto,72.0
empresa,803,,imetamemetalmecanica,Imetame Metalmecânica ⚙️🐬,90.0
empresa,350,,impacto.pf,IMPACTO,88.0
empresa,332,,impactosegurancaeletronica,Impacto_seguranca_eletronica,90.0
empresa,1253,,imperiodasconstrucoes,Império das Construções,90.0
empresa,1903,,industriafachini,industriafachini,90.0
empresa,1038,,incorpba,Incorp,74.82142857142858
empresa,163,,irrigaplan,Irrigaplan Sistemas de Irrigação,82.48275862068965
empresa,2495,,isbanky,ISBANKY,72.0
empresa,553,,itsinformov,IT’S Informov - Pioneira em Projetos e Construções Turnkey,74.0
empresa,2553,,jhsclassof.2024,JHS Class of 2024,72.0
empresa,1382,,kibom.bom,Ki-BomBom,90.0
empresa,272,,lc.laconfianza,LC.LaConfianza,72.0
empresa,2643,,laluna.chief,LALUNA | Ташкент,88.0
empresa,906,,la_budega_,La budega bar & petiscaria 🍻🥃🍟,72.0
empresa,2351,,libre_investisseur,Libre_Investisseur,72.0
empresa,285,,look_approve,Look Approve,90.0
empresa,269,,lopesbotelho7,lopesbotelho,88.0
empresa,1166,,macrolub,Macrolub Atacado Automotivo 🚗,74.0
empresa,156,,mardenkro_northamerica,Mardenkro North America,72.0
empresa,898,,materiais_de_construcaomg_,Matériais de Construção,72.14814814814815
empresa,1385,,matutocasaeconstrucao,Matuto Casa & Construção,89.52380952380952
empresa,2432,,mbv_imoveis,MBV,74.0
empresa,1050,,megasomeacessorios,MEGA SOM & ACESSÓRIOS,89.44444444444444
empresa,1440,,mendes.carvalhoconstrutora,Mendes Carvalho,74.0
empresa,446,,mercadodasdicas,Mercado das dicas,78.00000000000001
empresa,1093,,metal_plan,Metal plan,90.0
empresa,1316,,milliclinicanefrologica,Milli Clínica Nefrológica,90.0
empresa,645,,torronemontevergine,Montevérgine,88.0
empresa,2745,,multi.laser_,Multi Laser,90.0
empresa,2485,,mutual_finding,Mutual,88.0
empresa,127,,new_wave_shop_,NEW WAVE SHOP,90.0
empresa,1244,,novacasadistribuidora,Nova Casa Distribuidora,90.0
empresa,737,,oriundi.supermercados,Oriundi Supermercados,90.0
empresa,339,,oversystem,Oversystem,90.0
empresa,457,,padarianossasenhoraaparecida,PadariaNossaSenhoraAparecida,90.0
empresa,1161,,peakautomotiva,Peak Automotiva,90.0
empresa,1312,,peroladistribuicaooficial,Pérola Distribuição,88.0
empresa,1238,,caixapostodufigueiredo,Caixa Posto Du Figueiredo II,70.81818181818181
empresa,2454,,r.m_confeccoes,R.M Confecções,90.0
empresa,817,,mvassessoriaeplanejamento,MV Assessoria e Planejamento,82.80000000000001
empresa,104,,radisson_hotel_anapolis,Radisson Hotel Anápolis,90.0
empresa,114,,rayanerodrigueslopes,rayane rodrigues lopes,72.0
empresa,843,,realpetrp,Real Pet,88.0
empresa,1184,,redux_30,Redux32,88.57142857142857
empresa,265,,renatalopesmuniz,Renata Lopes Muniz,84.375
empresa,2001,,residencialmiragegardens,Residencial Mirage Gardens,72.0
empresa,1307,,riovermelhodistribuicao,Rio Vermelho Distribuição,78.26086956521739
empresa,2375,,rolly_s__,Rolly🕋,72.57142857142857
empresa,953,,sao8082,sao,88.0
empresa,1378,,saboresdobrasilgourmetthe,SABORES DO BRASIL GOURMET,88.0
empresa,661,,salinas,Salinas,90.0
empresa,1421,,samila_modas,samila_modas,90.0
empresa,495,,saojosedistribuidora,São José | Distribuidora,90.0
empresa,2519,,searaalimentosltda,SEARA ALIMENTOS LTDA,90.0
empresa,1080,,serviceinformatica,Service Informática,90.0
empresa,2720,,spc.diaries,spc.diaries,72.0
empresa,175,,renata_specta_traveel,Specta Viagens,75.0
empresa,1257,,supermercado_bom.preco,Supermercado Bom Preço,90.0
empresa,910,,symphon_fashion,SYMPHONY FASHION,83.33333333333334
empresa,863,,tequalybrasil,Tequaly,88.0
empresa,1958,,terraceempreendimentos,Terrace Empreendimentos,90.0
empresa,1411,,tieteagroindustrialoficial,Tietê Agroindustrial,88.0
empresa,1463,,tonicutolo.obraeobjeto,Toni Cutolo Arquitetura,75.0
empresa,1245,,transfalcao,Externo Transfalcao,74.0
empresa,1280,,transportadora.bom.jardim,Transportadora Bom Jardim,78.26086956521739
empresa,2632,,tnt.telecom,T&T Telecom,81.0
empresa,2456,,ma.pei_,𝕄𝕒 𝕡𝕖𝕚,72.0
empresa,449,,valenteconstrutora,Valente Construtora,90.0
empresa,459,,vianaconsultoria,Viana Consultoria,84.375
empresa,497,,vitoriaregia_cosmeticos,Vitória Régia Cosméticos,90.0
empresa,280,,zimba.wear,ZIMBA,88.0
